"","tweet","created","number"
"1","negative",2017-04-20,2
"2","negative",2017-04-21,4
"3","neutral",2017-04-20,13
"4","neutral",2017-04-21,10
"5","neutral",2017-04-22,3
"6","neutral",2017-04-23,1
