created,favoriteCount,favorited,id,isRetweet,latitude,longitude,replyToSID,replyToSN,replyToUID,retweetCount,retweeted,screenName,statusSource,text,truncated,Region
4/22/2017,0,FALSE,8.55829E+17,TRUE,NA,NA,NA,NA,NA,2,FALSE,KeyWestGwen,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @reporter_laura: Funding critical in responding to infectious diseases like Zika. The US doesn't have emergency fund for academic invest…,FALSE,Houston
4/22/2017,0,FALSE,8.55823E+17,TRUE,NA,NA,NA,NA,NA,6,FALSE,hologramscott,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Stella_Basham: Who Owns the ZIKA VIRUS...Busted! Rockefeller Foundation Funds, Owns and Patents the Zika Viru… https://t.co/r3mGQmUQIp…",FALSE,Houston
4/22/2017,0,FALSE,8.55811E+17,FALSE,NA,NA,NA,NA,NA,2,FALSE,reporter_laura,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Funding critical in responding to infectious diseases like Zika. The US doesn't have emergency fund for academic investigators etc. #ahcj17,FALSE,Houston
4/22/2017,6,FALSE,8.55803E+17,FALSE,NA,NA,NA,NA,NA,6,FALSE,Stella_Basham,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Who Owns the ZIKA VIRUS...Busted! Rockefeller Foundation Funds, Owns and Patents the Zika Viru… https://t.co/r3mGQmUQIp via @wordpressdotcom",FALSE,Houston
4/22/2017,0,FALSE,8.55803E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,lovingmykids65,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Stella_Basham: Recent massive fraud Zika Virus, research the U.S.  Patent Office. A Biological virus patent, owned by  Rockefeller Foun…",FALSE,Houston
4/22/2017,1,FALSE,8.55802E+17,FALSE,NA,NA,NA,NA,NA,1,FALSE,Stella_Basham,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Recent massive fraud Zika Virus, research the U.S.  Patent Office. A Biological virus patent, owned by  Rockefeller Foundation.",FALSE,Houston
4/22/2017,0,FALSE,8.55797E+17,TRUE,NA,NA,NA,NA,NA,2,FALSE,MFRoss,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @reporter_laura: “There remains a tremendous amount that we don’t know about this particular virus.” -Dr. Glenn Morris on Zika. #ahcjzik…,FALSE,Houston
4/22/2017,0,FALSE,8.55795E+17,FALSE,NA,NA,NA,NA,NA,2,FALSE,reporter_laura,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",“There remains a tremendous amount that we don’t know about this particular virus.” -Dr. Glenn Morris on Zika. #ahcjzika #ahcj17,FALSE,Houston
4/22/2017,0,FALSE,8.55747E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,tamraraven,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ITMHCA: ""Among the programs potentially affected by cuts is one that aimed to track Zika-associated birth defects,... https://t.co/tJo2…",FALSE,Houston
4/22/2017,1,FALSE,8.55728E+17,FALSE,NA,NA,NA,NA,NA,1,FALSE,ITMHCA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","""Among the programs potentially affected by cuts is one that aimed to track Zika-associated birth defects,... https://t.co/tJo25LCyIu",FALSE,Houston
4/22/2017,0,FALSE,8.55645E+17,TRUE,NA,NA,NA,NA,NA,2,FALSE,wallabemu7_62,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @InfowarsReports: Florida Releases Killer Mosquitoes To Fight Zika https://t.co/jWUlKfUdVj,FALSE,Houston
4/21/2017,3,FALSE,8.55561E+17,FALSE,NA,NA,NA,NA,NA,2,FALSE,InfowarsReports,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Florida Releases Killer Mosquitoes To Fight Zika https://t.co/jWUlKfUdVj,FALSE,Houston
4/21/2017,0,FALSE,8.55545E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,izarante,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NBDPN: Florida releases experimental mosquitoes to fight #Zika. Read more: https://t.co/lIz0EfHD4B.,FALSE,Houston
4/21/2017,0,FALSE,8.55528E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,electro_edward,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/zcpWRcrVtn,FALSE,Houston
4/21/2017,0,FALSE,8.55496E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,El_Centro_FQHC,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",Pregnant? Read this Zika information before you travel. https://t.co/FGncarWTvn https://t.co/zRhAAfmZSQ,FALSE,Houston
4/21/2017,0,FALSE,8.5549E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,LucindaLAustin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ReaganSheehy: Zika social media analysis revealed significant confusion around the facts and distrust of official sources @LucindaLAust…,FALSE,Houston
4/21/2017,0,FALSE,8.55488E+17,TRUE,NA,NA,NA,NA,NA,5,FALSE,gulchekhra7jgav,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @Fox26Houston: CDC: Zika infections confirmed in 9 pregnant women in US https://t.co/uKt3ahYDcw,FALSE,Houston
4/21/2017,0,FALSE,8.55462E+17,TRUE,NA,NA,NA,NA,NA,2,FALSE,ericaleigh33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @houstonivf: ICYMI, here's Dr. Nodler talking about Zika with @HaleyKPRC @KPRC2! https://t.co/ds8WVSgTB1",FALSE,Houston
4/21/2017,1,FALSE,8.55455E+17,FALSE,NA,NA,NA,NA,NA,1,FALSE,ReaganSheehy,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Zika social media analysis revealed significant confusion around the facts and distrust of official sources @LucindaLAustin #moodycomm,FALSE,Houston
4/21/2017,6,FALSE,8.55439E+17,FALSE,NA,NA,NA,NA,NA,7,FALSE,TexasDSHS,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Our #Zika Communications Toolkit has English, Spanish newsletter copy, social media copy &amp; graphics for your use! https://t.co/LPet6fxuvj",FALSE,Houston
4/21/2017,0,FALSE,8.55436E+17,FALSE,NA,NA,NA,NA,NA,1,FALSE,NBDPN,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Florida releases experimental mosquitoes to fight #Zika. Read more: https://t.co/lIz0EfHD4B.,FALSE,Houston
4/21/2017,0,FALSE,8.55421E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,DrBobBullard,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Florida releases experimental mosquitoes to fight Zika
https://t.co/bbSYLxXLoe",FALSE,Houston
4/21/2017,0,FALSE,8.55406E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,ZikaFoundation,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Florida releases experimental mosquitoes @CNN https://t.co/m2vIc6Wh1H,FALSE,Houston
4/21/2017,2,FALSE,8.55405E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Maria_kboo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Plot twist it actually has Zika or some other shit to control population growth. May the odds be in your favor https://t.co/YNvUD392Q9,FALSE,Houston
4/21/2017,1,FALSE,8.55394E+17,FALSE,NA,NA,NA,NA,NA,2,FALSE,houstonivf,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ICYMI, here's Dr. Nodler talking about Zika with @HaleyKPRC @KPRC2! https://t.co/ds8WVSgTB1",FALSE,Houston
4/21/2017,0,FALSE,8.55371E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,electro_edward,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/8q9fkLLHNk,FALSE,Houston
4/21/2017,0,FALSE,8.55285E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,electro_edward,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/5eAE9EtTHB,FALSE,Houston
